,ftmap,N_classes,Bandwidth,test_error,train_error,s,geom_distance,concentration,optimize,C
24,ZZ_linear,10_classes,6.28,0.16666666666666666,0.7363636363636363,24981.74737674458,24.335245394647536,0.009008070297465963,False,1.0
25,ZZ_linear,4_classes,0.39,0.8194444444444444,0.7818181818181819,20581.74622564174,23.25168611741095,0.08500879992615705,False,1.0
26,ZZ_linear,4_classes,0.79,0.7847222222222222,0.8090909090909091,13156.609496304885,22.366658725401333,0.056909871642820485,False,1.0
27,ZZ_linear,4_classes,1.57,0.7361111111111112,0.8409090909090909,8553.367711533103,22.42297436409756,0.01794543302546087,False,1.0
28,ZZ_linear,4_classes,3.14,0.4791666666666667,0.8363636363636363,9811.879485629934,22.63685410344984,0.008914579536319219,False,1.0
29,ZZ_linear,4_classes,6.28,0.4027777777777778,0.8272727272727273,15291.735740926133,26.439776494222276,0.007993170471840002,False,1.0
30,Z_full,10_classes,0.39,0.38666666666666666,0.39090909090909093,53798.23285486135,37.07579593490852,0.0013749346573446364,False,1.0
31,Z_full,10_classes,0.79,0.4,0.40454545454545454,51529.289377644105,35.36468818572203,0.015487422801437051,False,1.0
32,Z_full,10_classes,1.57,0.41333333333333333,0.4590909090909091,24521.007357446448,27.64681150287851,0.07095125045500097,False,1.0
33,Z_full,10_classes,3.14,0.41333333333333333,0.5590909090909091,32136.860893016386,26.53457194717202,0.053124766479945726,False,1.0
34,Z_full,10_classes,6.28,0.28,0.5136363636363637,43296.00215723564,34.441088291839286,0.02247705565440506,False,1.0
35,Z_full,4_classes,0.39,0.8055555555555556,0.7454545454545455,27758.28262617241,33.41939483482686,0.0018620213667624411,False,1.0
36,Z_full,4_classes,0.79,0.8055555555555556,0.7636363636363637,16667.098558589885,25.73383609034945,0.019432786586693687,False,1.0
37,Z_full,4_classes,1.57,0.8194444444444444,0.8090909090909091,12003.976481275473,22.153665013212258,0.07322452387201796,False,1.0
38,Z_full,4_classes,3.14,0.7986111111111112,0.8272727272727273,11453.37337721645,25.704556690405056,0.039875793755175644,False,1.0
39,Z_full,4_classes,6.28,0.5486111111111112,0.6954545454545454,21886.276720443042,32.091995341504585,0.022101613363425213,False,1.0
40,ZZ_full,10_classes,0.39,0.4066666666666667,0.6181818181818182,30313.234918752176,22.78957485236901,0.05594027638841374,True,10.0
41,ZZ_full,10_classes,0.79,0.41333333333333333,0.5727272727272728,26092.91158769046,21.708900715289293,0.032816297554956415,True,1.0
42,ZZ_full,10_classes,1.57,0.32666666666666666,0.95,20183.53562464542,21.205648407681,0.014389812085532274,True,10.0
43,ZZ_full,10_classes,3.14,0.26666666666666666,0.8681818181818182,22173.344630627987,21.52565264980691,0.006621237101695525,True,1.0
44,ZZ_full,10_classes,6.28,0.20666666666666667,0.8681818181818182,15809.219304861177,19.38497900735975,0.005260367869781601,True,1.0
45,ZZ_full,4_classes,0.39,0.8055555555555556,0.8727272727272727,13498.93216605636,23.283732191784242,0.049719701004904596,True,10.0
46,ZZ_full,4_classes,0.79,0.7847222222222222,0.8363636363636363,9613.863921583683,21.745131221966062,0.027375427705629826,True,1.0
47,ZZ_full,4_classes,1.57,0.7291666666666666,0.8454545454545455,7739.142629961314,17.262946079742964,0.011830053388783427,True,1.0
48,ZZ_full,4_classes,3.14,0.5763888888888888,0.7454545454545455,8118.885404928884,18.239203124528697,0.006246721556359912,True,0.1
49,ZZ_full,4_classes,6.28,0.3541666666666667,0.7363636363636363,10613.39508564121,21.3182973988984,0.00532429942259398,True,0.1
50,ZZ_linear,10_classes,0.39,0.3933333333333333,0.5545454545454546,30227.448753669705,28.5919872204178,0.07516743257129849,True,10.0
51,ZZ_linear,10_classes,0.79,0.3933333333333333,0.6181818181818182,29195.347874105624,23.68382229367389,0.07163797821820472,True,10.0
52,ZZ_linear,10_classes,1.57,0.34,0.6,22033.704345520033,26.100417950951368,0.02514678064903898,True,1.0
53,ZZ_linear,10_classes,3.14,0.21333333333333335,0.9772727272727273,21183.00315976949,25.71687545986403,0.010347391243868184,True,10.0
54,ZZ_linear,10_classes,6.28,0.17333333333333334,1.0,24981.74737674458,24.335245394647536,0.009008070297465963,True,100.0
55,ZZ_linear,4_classes,0.39,0.7847222222222222,0.85,20581.74622564174,23.25168611741095,0.08500879992615705,True,10.0
56,ZZ_linear,4_classes,0.79,0.7847222222222222,0.8090909090909091,13156.609496304885,22.366658725401333,0.056909871642820485,True,1.0
57,ZZ_linear,4_classes,1.57,0.7361111111111112,0.8409090909090909,8553.367711533103,22.42297436409756,0.01794543302546087,True,1.0
58,ZZ_linear,4_classes,3.14,0.4513888888888889,0.9818181818181818,9811.879485629934,22.63685410344984,0.008914579536319219,True,10.0
59,ZZ_linear,4_classes,6.28,0.3402777777777778,1.0,15291.735740926133,26.439776494222276,0.007993170471840002,True,100.0
60,Z_full,10_classes,0.39,0.4,0.6863636363636364,53798.23285486135,37.07579593490852,0.0013749346573446364,True,100.0
61,Z_full,10_classes,0.79,0.4266666666666667,0.5,51529.289377644105,35.36468818572203,0.015487422801437051,True,10.0
62,Z_full,10_classes,1.57,0.3933333333333333,0.5954545454545455,24521.007357446448,27.64681150287851,0.07095125045500097,True,10.0
63,Z_full,10_classes,3.14,0.41333333333333333,0.5590909090909091,32136.860893016386,26.53457194717202,0.053124766479945726,True,1.0
64,Z_full,10_classes,6.28,0.28,0.5136363636363637,43296.00215723564,34.441088291839286,0.02247705565440506,True,1.0
65,Z_full,4_classes,0.39,0.7708333333333334,0.8818181818181818,27758.28262617241,33.41939483482686,0.0018620213667624411,True,100.0
66,Z_full,4_classes,0.79,0.8125,0.8318181818181818,16667.098558589885,25.73383609034945,0.019432786586693687,True,10.0
67,Z_full,4_classes,1.57,0.8194444444444444,0.8090909090909091,12003.976481275473,22.153665013212258,0.07322452387201796,True,1.0
68,Z_full,4_classes,3.14,0.7916666666666666,0.7954545454545454,11453.37337721645,25.704556690405056,0.039875793755175644,True,0.1
69,Z_full,4_classes,6.28,0.5694444444444444,0.6409090909090909,21886.276720443042,32.091995341504585,0.022101613363425213,True,0.1
70,rbf,10_classes,0.39,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,True,1.0
71,rbf,10_classes,0.79,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,True,1.0
72,rbf,10_classes,1.57,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,True,1.0
73,rbf,10_classes,3.14,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,True,1.0
74,rbf,10_classes,6.28,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,True,1.0
75,rbf,4_classes,0.39,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,True,1.0
76,rbf,4_classes,0.79,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,True,1.0
77,rbf,4_classes,1.57,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,True,1.0
78,rbf,4_classes,3.14,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,True,1.0
79,rbf,4_classes,6.28,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,True,1.0
