,ftmap,K,Bandwidth,s,geom_distance,concentration,silhouette,Score_cluster,v_intra,v_inter,N_samples
41,rbf,7,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20393101710942438,0.31903220264293897,0.052460811936008975,0.03260942765074516,100
42,rbf,8,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2369083245121446,0.3730951791902791,0.04750625768590351,0.03089894536408269,100
43,rbf,9,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2576471828861278,0.4241441870741224,0.040488980186387684,0.03134850219588001,100
44,rbf,10,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2552931507899945,0.4361680201021565,0.039732447141148736,0.03217045621304106,100
45,ZZ_full,2,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.14807859526124661,0.12489663588000832,0.02504183627947374,0.007939276678350104,100
46,ZZ_full,3,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.15159232157806363,0.16138920070556162,0.02806121237108127,0.010768603658184847,100
47,ZZ_full,4,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.1461751457306825,0.18283561759394285,0.030305500517939406,0.01203573355488786,100
48,ZZ_full,5,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.17163841978383554,0.21414778824824343,0.03311202183943213,0.011229715032628944,100
49,ZZ_full,6,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.17853710557838753,0.2547872466950155,0.0361056920901696,0.011134315208771022,100
50,ZZ_full,7,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.1864524461282392,0.26733133707653167,0.03509125110244124,0.011810620613722577,100
51,ZZ_full,8,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.17592413802995388,0.2717627006689859,0.036829225973635346,0.012896649510000139,100
52,ZZ_full,9,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.19963455506893077,0.3155273595747733,0.033506392537488716,0.01268450753314111,100
53,ZZ_full,10,0.125,4434.979137839665,4.17884724714016,0.021504093253970843,0.18935809889051206,0.31928958738493995,0.036017518123323974,0.013377984317869001,100
54,ZZ_full,2,0.25,1521.1625628236723,3.8532694329194888,0.005826914558606275,0.055347498205817185,0.04489142253481193,0.007202695112087117,0.0022385406644077166,100
