,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0307,4.95994,3.2723055,9.471702,2.2855246,5
MB-4823,3.2309294,2.9817798,9.952762,2.496448,5
MB-5106,5.680317,3.65183,9.312181,3.2925136,6
MB-5173,3.1853137,0.7897775,9.345569,3.1906476,10
MB-4941,4.0421476,4.202389,8.679826,4.280665,4
MB-0233,4.5694633,3.9604642,8.862671,1.9774866,2
MB-5452,5.3822155,3.7859833,9.19778,4.046178,2
MB-4692,4.4218707,4.467476,7.6304073,5.314288,8
MB-5050,4.7348614,4.8174686,9.031387,3.9641283,3
MB-5447,4.0125294,3.776313,8.57324,2.7256773,6
MB-0389,4.675963,4.6020956,9.637655,1.8145512,2
MB-4723,4.788564,4.775672,9.035994,2.66079,1
MB-5044,5.3475614,5.2018814,10.344988,3.9997952,4
MB-0236,4.5913773,3.1586034,9.763453,2.1139536,5
MB-3582,3.2181084,2.9649026,10.20758,2.3845756,4
MB-0155,4.3916597,2.2457042,10.639592,2.7465937,4
MB-2791,4.6634507,4.4339185,9.666314,2.5838423,3
MB-0264,5.538515,3.5036163,9.454327,2.308401,9
MB-4329,5.4618936,4.912842,9.034236,3.4979036,7
MB-0429,5.3358955,4.435809,9.370653,2.0895724,1
MB-5408,4.3827505,1.1926155,9.056698,3.1601942,4
MB-4621,3.2989626,1.149864,8.925868,3.170067,10
MB-0248,3.881151,5.5553527,8.800315,2.9362564,8
MB-5278,4.746053,2.6372614,10.1057,3.730121,4
MB-4906,5.4015684,3.9256513,8.579916,3.7526019,9
MB-3057,3.1472106,0.5629679,9.320531,2.76165,10
MB-0117,4.3861303,3.7152152,9.258691,3.913683,1
MB-5473,4.0693917,5.108844,8.733391,3.996986,3
MB-0388,4.119755,3.16264,8.752952,3.7831898,1
MB-0452,4.267998,4.473038,8.699233,1.949493,9
MB-3121,4.18349,3.8592677,9.862248,2.0697076,3
MB-2792,4.315591,2.966383,9.851062,2.2115672,9
MB-5339,4.302155,3.8004475,8.857923,4.1483545,3
MB-5491,4.3187046,5.301861,8.190782,3.662901,8
MB-0616,4.5000215,5.1414146,8.734308,2.3727722,7
MB-4633,5.383399,4.011452,9.391977,3.5201197,4
MB-7088,4.094171,3.1955512,8.979248,4.0633607,5
MB-5178,5.063047,4.891076,9.190491,4.090129,6
MB-5593,4.4376707,1.7866751,8.794194,3.8155189,5
MB-3453,3.1191378,3.239414,10.068264,2.4272127,10
MB-7182,4.917277,4.2550697,8.051131,3.488672,9
MB-5370,5.281456,5.2408595,9.547079,3.795524,8
MB-5074,4.5794744,4.698268,8.308249,4.031377,3
MB-5273,5.219019,5.007554,10.110116,3.939337,6
MB-5624,3.4384167,1.4189984,9.242136,3.418981,10
MB-0448,4.072787,4.8372493,8.568524,2.7297723,1
MB-7127,5.838215,3.395618,8.74991,3.0836265,9
MB-6213,5.5728445,4.559727,9.392103,3.4115684,7
MB-7028,4.8828125,4.089925,9.564025,2.8689146,1
MB-4634,4.5788994,4.4011655,9.218636,4.2456527,3
MB-3842,5.0582266,3.414244,9.050699,1.9830629,1
MB-7228,3.7916777,4.5621443,8.880837,2.1979294,7
MB-0655,4.6519895,2.9908924,10.626416,3.1162732,4
MB-4725,4.4095144,4.302114,8.404124,2.4360726,5
MB-4714,3.6309292,2.325688,8.681007,3.874024,10
MB-0261,4.6398897,5.462455,9.388703,2.3266358,8
MB-4904,4.3080235,1.2452857,9.405619,2.6554692,5
MB-5223,4.5250854,2.0846145,10.079029,2.9465075,4
MB-0503,5.7051425,3.757838,9.392494,2.8752704,7
MB-6138,4.148061,3.7703261,8.663024,3.4459894,3
MB-5213,4.1286263,2.0472016,9.373528,2.947535,5
MB-6039,4.897543,2.9716253,8.871157,3.3997848,9
MB-5011,4.339848,4.9038305,8.175532,4.6795197,3
MB-5602,4.2441835,1.2187647,9.299067,2.8706255,10
MB-0638,4.722232,2.9183376,10.585241,3.0419056,4
MB-0256,4.110738,4.9486027,9.459777,1.9578917,3
MB-4764,4.1839437,5.1567245,8.244098,3.899599,3
MB-5040,3.6456265,4.4321723,8.689151,2.6113472,6
MB-2778,4.255486,4.7187815,9.374123,1.9189744,3
MB-0618,5.0933437,5.199908,9.26096,3.2275975,3
MB-4685,5.498763,4.1317973,8.253677,3.424731,6
MB-3355,3.7393978,4.0313206,9.392767,1.9099041,5
