,Component_1,Component_2,Component_3,Component_4,label
291,5.3551526,5.2171516,10.471415,3.9067497,8
292,4.7184143,4.3273134,9.166376,2.0064802,5
293,4.251305,4.4590397,8.311349,4.6096644,3
294,3.0456965,0.9692761,9.504198,2.608578,8
295,4.3303275,4.4193544,7.47167,5.405588,10
296,4.5625005,2.6736984,10.307541,2.595407,8
297,4.688732,2.6420429,10.193159,3.7691798,3
298,4.3825417,8.680766,6.2187233,-0.36161655,5
299,4.295443,3.865591,9.283855,4.3439918,4
300,3.9471238,4.0281215,8.912306,3.934175,5
301,3.4382744,0.47511315,8.982855,3.084607,2
302,4.6158185,4.974749,8.374574,2.9675012,7
303,3.348523,4.0098214,9.52343,2.2171164,4
304,4.206413,3.9889042,8.744305,3.9511113,1
305,4.504044,3.4252067,10.316532,2.8090348,4
306,4.606567,4.265823,9.247853,2.4222894,4
307,3.830069,4.484488,8.783692,3.4386601,5
308,4.38099,5.2705207,9.31142,3.112431,6
309,4.483094,2.1893213,10.628102,2.667727,4
310,3.2241638,0.8754039,9.084194,3.3990736,4
311,4.115684,4.1429715,9.855497,3.8452399,7
312,4.1979547,2.3669634,8.916273,2.883587,10
313,5.171654,3.340092,9.681098,2.1120985,8
314,5.4675574,4.022906,9.800314,2.8511603,3
315,5.583032,3.6349823,8.081792,4.013409,8
316,4.676122,4.3154483,8.29282,2.5877,4
317,3.8463082,2.530487,10.415732,2.4743547,10
318,4.434675,3.117608,10.29229,3.0933483,8
319,5.332194,3.6910894,9.57856,3.5775523,3
320,4.609258,4.112004,8.521926,4.760403,3
321,5.5671105,3.6063566,8.993585,2.1874998,10
322,3.8379402,0.7186201,9.338942,2.7965345,5
323,5.702239,4.4557815,8.594389,3.5633202,8
324,4.0616527,4.3305025,10.157359,2.325456,10
325,3.421441,0.71526885,8.856126,3.294057,10
326,3.93565,5.2659736,8.298052,3.5988715,9
327,4.1309853,4.1161685,9.799779,3.9022586,1
328,4.1344876,5.6966667,8.790329,3.3875215,7
329,4.687387,2.4954083,10.626009,3.347001,4
330,5.2076516,3.3732235,9.719665,2.098331,9
331,4.1334844,5.3879843,9.32357,3.1936457,7
332,5.3789988,3.3449814,8.854604,2.7429125,3
333,5.320928,3.4551752,9.72333,2.7596397,9
334,3.7118504,0.8183985,9.264366,2.608774,4
335,5.552447,3.6918564,8.999907,2.286457,3
336,4.3905425,2.4131563,10.662544,2.6713333,5
337,5.0370445,3.7404225,8.630595,4.319593,3
338,4.1544895,2.3991792,10.7038355,2.7199888,10
339,3.0807035,0.647186,9.244244,3.0391703,5
340,4.615036,2.5094473,10.794299,3.1920881,1
341,4.3537884,4.1825156,10.284395,2.7727284,8
342,4.105062,2.7842479,10.691959,3.0570457,5
343,4.70083,4.794646,8.379915,4.227585,10
344,5.826896,3.4294786,8.739107,3.0245652,3
345,4.5168996,4.673562,8.6564045,2.0889952,4
346,5.2034097,4.8130083,10.242245,3.9272144,9
347,4.132094,1.597702,8.987176,3.1495025,10
348,3.966887,4.372335,9.829645,3.8365471,10
349,3.5731428,4.44257,9.852363,2.4250214,3
350,4.51076,4.189882,7.967889,3.8820064,3
351,4.351296,3.4914122,9.277145,2.8181157,10
352,4.017876,2.7148242,9.688396,3.3734436,7
353,4.1629252,2.9999893,9.329567,2.533995,3
354,4.699299,5.0758142,8.670574,2.4444435,7
355,5.5399275,3.266308,9.087252,2.797093,8
356,4.5740438,0.9132446,9.349405,2.9691114,9
357,4.528166,2.4480054,10.7298565,3.1699247,4
358,4.1468425,4.1558824,7.9142075,4.6724153,3
359,4.4103794,3.9745915,9.492831,2.15204,5
360,3.8836596,0.91457015,9.016696,3.4329252,5
361,4.569124,5.316356,8.480958,3.673657,8
362,3.4300084,3.534256,10.113268,2.2566874,3
363,4.153972,3.1404169,8.580384,4.0941014,4
364,3.9562683,5.39522,9.313096,2.3849862,4
