,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-7114,3.207231,2.0265574,11.162632,2.884927,10
MB-0663,1.8986149,1.4529053,11.04962,2.4361558,5
MB-0546,2.132602,0.9036823,11.497683,2.5073767,3
MB-3266,2.3691723,1.2976915,10.783775,1.3779906,1
MB-0156,2.2309458,0.8924245,11.781867,2.7611156,4
MB-4764,3.074814,0.3853876,10.099925,2.231497,3
MB-2795,2.462706,1.3257108,10.750109,1.4945822,1
MB-4930,2.7093184,1.2250344,9.841609,2.2288175,9
MB-6233,2.5843794,0.5761977,10.045273,1.8407475,8
MB-2970,2.7911906,0.98821324,11.569191,1.6877686,4
MB-0214,3.2942698,1.4935973,11.28342,2.8447862,10
MB-5291,1.7880418,0.8702412,9.784882,2.7227473,9
MB-4715,3.2475798,1.490606,10.746059,2.8966358,8
MB-4696,2.9302425,1.3079653,10.987728,3.158188,10
MB-0516,3.2103167,1.784233,11.384423,2.8519728,10
MB-5062,2.3235114,1.3070971,10.542944,3.1792843,1
MB-0491,1.9574587,1.4323319,10.782041,2.3239856,4
MB-5063,2.3270755,1.3516986,11.128698,2.1700044,5
MB-5011,2.8782563,0.049144585,9.885597,2.5981357,3
MB-7141,2.2979248,0.1729757,10.805211,2.6710129,7
MB-5130,2.3518715,0.73491985,10.398443,2.8716152,7
MB-6079,1.945268,0.8483926,10.122655,2.4895225,9
MB-7092,2.5406742,0.7097259,10.779023,2.681251,1
MB-7171,2.6480126,0.38185832,10.614318,2.2810042,9
MB-5633,2.5543025,1.7643383,11.2309675,3.4128273,4
MB-0360,1.6381676,0.42996666,10.133728,2.3177314,7
MB-7079,2.2137241,1.0581535,11.806957,2.703273,4
MB-3355,2.785923,1.3338969,10.8120365,1.5839624,5
MB-4832,3.0439255,0.49807736,10.389745,2.1662552,3
MB-0112,1.9360888,1.0055177,10.920727,2.057789,3
MB-2923,2.933971,1.1709135,10.600419,1.8722743,5
MB-6185,2.6999664,0.02738175,10.669581,2.5548875,3
MB-5124,2.5803697,1.0756783,9.752758,2.233002,6
MB-0434,2.2448394,1.1162467,9.964111,1.7560525,5
MB-4289,3.276563,0.21637785,9.42053,2.9819462,2
MB-7058,2.5282292,0.40857032,11.143505,2.3539445,3
MB-4721,3.1245656,0.06860568,10.175078,2.2677948,8
MB-0020,2.1032417,1.1668073,11.261316,2.558895,4
MB-0056,2.402721,1.2124074,11.343319,0.7813821,1
MB-0386,2.5646396,0.77760863,10.445671,1.9985964,9
MB-3103,2.0745158,1.3068562,10.564168,2.0907817,5
MB-7267,3.213561,2.0091233,11.172517,2.9516473,10
